strategy,coin,tf,period_days,oos_trades,oos_return_pct,oos_sharpe,oos_sortino,oos_max_dd,oos_pf,oos_winrate,bnh_return_pct,alpha_pct,is_sharpe,wf_sharpe_decay,verdict
bb_scalp_15m,ETH,15m,45,730,177.09,106.54,1066.16,0.32,77.10,48.6,18.03,159.06,97.09,9.7,DEPLOYABLE
bb_scalp_15m,BTC,15m,45,716,176.44,107.57,1258.95,0.32,119.94,49.2,16.22,160.22,98.41,9.3,DEPLOYABLE
bb_scalp_15m,SOL,15m,45,784,194.45,107.98,1006.72,0.32,61.73,48.2,9.87,184.58,97.01,11.3,DEPLOYABLE
bb_scalp_15m,DOGE,15m,45,726,165.71,101.81,706.84,0.47,38.82,47.5,-28.41,194.11,95.06,7.1,DEPLOYABLE
triple_confirm_15m,ETH,15m,45,302,39.33,67.94,416.51,0.13,31.90,47.0,18.03,21.30,66.84,1.6,DEPLOYABLE
triple_confirm_15m,BTC,15m,45,350,49.86,78.04,695.09,0.13,70.26,48.6,16.22,33.63,74.38,4.9,DEPLOYABLE
triple_confirm_15m,SOL,15m,45,340,46.42,73.95,511.28,0.26,41.29,47.6,9.87,36.55,69.06,7.1,DEPLOYABLE
triple_confirm_15m,DOGE,15m,45,778,136.88,105.61,677.15,0.38,34.39,47.3,-28.41,165.28,91.56,15.3,DEPLOYABLE
vwap_reversion_15m,ETH,15m,45,628,68.94,92.02,479.75,0.22,22.02,45.9,18.03,50.90,82.55,11.5,DEPLOYABLE
vwap_reversion_15m,BTC,15m,45,586,69.23,97.37,706.94,0.22,46.61,48.0,16.22,53.00,87.04,11.9,DEPLOYABLE
vwap_reversion_15m,SOL,15m,45,626,68.11,91.07,460.64,0.22,20.80,45.7,9.87,58.24,78.32,16.3,DEPLOYABLE
vwap_reversion_15m,DOGE,15m,45,686,77.51,95.37,473.54,0.32,21.06,45.9,-28.41,105.92,77.36,23.3,DEPLOYABLE
elder_mtf_15m,ETH,15m,45,64,13.33,35.70,9999.00,0.00,9999.00,50.0,18.03,-4.70,18.38,94.2,A_OPTIMISER
elder_mtf_15m,BTC,15m,45,40,8.13,28.11,9999.00,0.00,9999.00,50.0,16.22,-8.09,22.95,22.5,MARGINAL
elder_mtf_15m,SOL,15m,45,46,9.41,30.19,9999.00,0.00,9999.00,50.0,9.87,-0.46,28.68,5.3,A_OPTIMISER
elder_mtf_15m,DOGE,15m,45,110,23.99,46.83,9999.00,0.00,9999.00,50.0,-28.41,52.40,24.65,90.0,DEPLOYABLE
stochrsi_scalp_5m,ETH,5m,15,500,41.24,166.33,1812.07,0.09,117.94,49.2,-23.66,64.90,155.02,7.3,DEPLOYABLE
stochrsi_scalp_5m,BTC,5m,15,552,47.89,180.80,9999.00,0.00,9999.00,50.0,-19.80,67.69,164.26,10.1,DEPLOYABLE
stochrsi_scalp_5m,SOL,5m,15,162,10.89,147.53,781.85,0.26,26.89,46.9,-39.97,50.86,116.28,26.9,DEPLOYABLE
stochrsi_scalp_5m,DOGE,5m,15,388,29.56,140.15,987.47,0.18,49.07,48.2,-13.29,42.85,150.44,-6.8,DEPLOYABLE
macd_momentum_1h,ETH,1h,180,1182,360.38,51.94,369.06,0.30,34.44,47.5,-165.54,525.93,51.37,1.1,DEPLOYABLE
macd_momentum_1h,BTC,1h,180,1156,219.85,54.16,427.89,0.18,44.87,47.8,-112.29,332.14,54.18,-0.0,DEPLOYABLE
macd_momentum_1h,SOL,1h,180,1170,453.02,51.87,439.26,0.37,45.76,47.7,-165.29,618.32,51.35,1.0,DEPLOYABLE
macd_momentum_1h,DOGE,1h,180,1086,371.49,52.71,354.23,0.35,32.09,47.1,-130.28,501.77,51.19,3.0,DEPLOYABLE
macd_momentum_1h,ETH,1h,90,584,137.35,62.08,412.21,0.23,31.73,46.7,-66.45,203.80,54.54,13.8,DEPLOYABLE
macd_momentum_1h,BTC,1h,90,550,93.18,62.99,458.21,0.18,45.77,48.0,-56.40,149.58,53.19,18.4,DEPLOYABLE
