period,strategy,coin,tf,trades,return_pct,sharpe,sortino,max_dd,pf,win_rate,verdict
P1_365d,bb_scalp_15m,ETH,15m,2218,358.86,98.47,881.18,0.17,56.79,48.1,DEPLOYABLE
P1_365d,triple_confirm_15m,ETH,15m,952,68.55,69.45,428.66,0.14,31.62,47.0,DEPLOYABLE
P1_365d,macd_momentum_1h,ETH,1h,4010,1318.45,45.21,362.89,0.18,35.98,47.3,DEPLOYABLE
P1_365d,rsi_divergence_1h,ETH,1h,184,13.60,16.57,128.91,0.08,57.32,48.4,DEPLOYABLE
P1_365d,ema_adx_trend_4h,ETH,4h,1884,949.58,26.25,132.56,0.39,16.96,44.6,DEPLOYABLE
P1_365d,bb_kc_squeeze_1h,ETH,1h,310,19.61,17.90,110.28,0.11,30.44,47.1,DEPLOYABLE
P1_365d,donchian_breakout_1d,ETH,1d,0,0.00,0.00,0.00,0.00,0.00,0.0,FAILED
P1_365d,vwap_reversion_15m,ETH,15m,1782,102.39,83.62,383.25,0.28,15.88,44.4,DEPLOYABLE
P1_365d,stochrsi_scalp_5m,ETH,5m,2004,96.10,180.76,1423.82,0.13,56.87,48.4,DEPLOYABLE
P1_365d,williams_obv_4h,ETH,4h,230,24.99,11.25,54.23,0.21,14.19,42.6,DEPLOYABLE
P1_365d,regime_adaptive_1h,ETH,1h,4096,27339.55,47.12,480.17,0.52,54.64,63.3,DEPLOYABLE
P1_365d,elder_mtf_15m,ETH,15m,88,9.00,24.46,9999.00,0.00,9999.00,50.0,A_OPTIMISER
P1_365d,ichimoku_trend_4h,ETH,4h,2680,13043.05,24.01,192.60,0.31,35.35,47.2,DEPLOYABLE
P1_365d,bb_scalp_15m,BTC,15m,162,12.29,96.24,1298.41,0.08,167.47,49.4,A_OPTIMISER
P1_365d,triple_confirm_15m,BTC,15m,84,5.21,71.04,9999.00,0.00,9999.00,50.0,A_OPTIMISER
P1_365d,macd_momentum_1h,BTC,1h,3844,429.16,47.74,389.27,0.13,38.88,47.1,DEPLOYABLE
P1_365d,rsi_divergence_1h,BTC,1h,234,17.82,18.97,163.46,0.08,72.49,48.7,DEPLOYABLE
P1_365d,ema_adx_trend_4h,BTC,4h,1904,1336.82,28.17,196.23,0.64,40.62,48.2,DEPLOYABLE
P1_365d,bb_kc_squeeze_1h,BTC,1h,410,17.48,20.12,114.35,0.14,31.65,47.6,DEPLOYABLE
P1_365d,donchian_breakout_1d,BTC,1d,0,0.00,0.00,0.00,0.00,0.00,0.0,FAILED
P1_365d,vwap_reversion_15m,BTC,15m,170,8.18,96.18,913.10,0.11,83.78,48.8,A_OPTIMISER
P1_365d,stochrsi_scalp_5m,BTC,5m,2170,112.36,194.53,2332.70,0.13,137.94,49.3,DEPLOYABLE
P1_365d,williams_obv_4h,BTC,4h,322,46.45,16.87,193.38,0.10,98.90,48.8,DEPLOYABLE
P1_365d,regime_adaptive_1h,BTC,1h,4096,36633.90,47.66,688.94,0.34,140.46,49.4,DEPLOYABLE
P1_365d,elder_mtf_15m,BTC,15m,32,3.18,43.42,9999.00,0.00,9999.00,50.0,INSUFFISANT
P1_365d,ichimoku_trend_4h,BTC,4h,2754,20478.64,24.59,409.54,0.61,135.59,49.2,DEPLOYABLE
P2_old_180d,bb_scalp_15m,ETH,15m,0,0.00,0.00,0.00,0.00,0.00,0.0,FAILED
P2_old_180d,triple_confirm_15m,ETH,15m,0,0.00,0.00,0.00,0.00,0.00,0.0,FAILED
P2_old_180d,macd_momentum_1h,ETH,1h,554,44.34,74.82,769.22,0.09,80.24,48.6,DEPLOYABLE
P2_old_180d,rsi_divergence_1h,ETH,1h,26,1.91,17.74,9999.00,0.00,9999.00,50.0,INSUFFISANT
P2_old_180d,ema_adx_trend_4h,ETH,4h,852,189.76,31.06,171.86,0.39,19.78,44.6,MARGINAL
P2_old_180d,bb_kc_squeeze_1h,ETH,1h,34,1.84,16.17,85.12,0.08,24.99,47.1,INSUFFISANT
P2_old_180d,donchian_breakout_1d,ETH,1d,0,0.00,0.00,0.00,0.00,0.00,0.0,FAILED
P2_old_180d,vwap_reversion_15m,ETH,15m,0,0.00,0.00,0.00,0.00,0.00,0.0,FAILED
P2_old_180d,stochrsi_scalp_5m,ETH,5m,0,0.00,0.00,0.00,0.00,0.00,0.0,FAILED
P2_old_180d,williams_obv_4h,ETH,4h,136,13.72,11.96,55.14,0.21,12.71,41.9,MARGINAL
P2_old_180d,regime_adaptive_1h,ETH,1h,722,88.16,83.24,720.70,0.19,54.00,47.8,DEPLOYABLE
P2_old_180d,elder_mtf_15m,ETH,15m,0,0.00,0.00,0.00,0.00,0.00,0.0,FAILED
P2_old_180d,ichimoku_trend_4h,ETH,4h,1258,891.29,34.73,393.88,0.31,60.90,47.2,MARGINAL
P2_old_180d,bb_scalp_15m,BTC,15m,0,0.00,0.00,0.00,0.00,0.00,0.0,FAILED
P2_old_180d,triple_confirm_15m,BTC,15m,0,0.00,0.00,0.00,0.00,0.00,0.0,FAILED
P2_old_180d,macd_momentum_1h,BTC,1h,508,16.13,64.62,367.75,0.06,26.70,46.7,MARGINAL
P2_old_180d,rsi_divergence_1h,BTC,1h,48,3.56,24.32,9999.00,0.00,9999.00,50.0,INSUFFISANT
P2_old_180d,ema_adx_trend_4h,BTC,4h,842,229.86,35.46,435.50,0.26,96.01,48.6,DEPLOYABLE
P2_old_180d,bb_kc_squeeze_1h,BTC,1h,50,1.69,22.47,9999.00,0.00,9999.00,50.0,INSUFFISANT
P2_old_180d,donchian_breakout_1d,BTC,1d,0,0.00,0.00,0.00,0.00,0.00,0.0,FAILED
P2_old_180d,vwap_reversion_15m,BTC,15m,0,0.00,0.00,0.00,0.00,0.00,0.0,FAILED
P2_old_180d,stochrsi_scalp_5m,BTC,5m,0,0.00,0.00,0.00,0.00,0.00,0.0,FAILED
P2_old_180d,williams_obv_4h,BTC,4h,148,19.52,16.79,276.16,0.10,194.94,49.3,MARGINAL
P2_old_180d,regime_adaptive_1h,BTC,1h,828,115.34,94.29,2138.15,0.10,462.47,49.8,MARGINAL
P2_old_180d,elder_mtf_15m,BTC,15m,0,0.00,0.00,0.00,0.00,0.00,0.0,FAILED
P2_old_180d,ichimoku_trend_4h,BTC,4h,1304,1152.32,36.06,1052.73,0.31,371.53,49.3,DEPLOYABLE
P3_recent_180d,bb_scalp_15m,ETH,15m,2218,358.86,98.47,881.18,0.17,56.79,48.1,DEPLOYABLE
P3_recent_180d,triple_confirm_15m,ETH,15m,952,68.55,69.45,428.66,0.14,31.62,47.0,DEPLOYABLE
P3_recent_180d,macd_momentum_1h,ETH,1h,3440,874.93,47.77,377.86,0.18,35.28,47.1,DEPLOYABLE
P3_recent_180d,rsi_divergence_1h,ETH,1h,158,11.46,16.35,119.37,0.08,49.40,48.1,DEPLOYABLE
P3_recent_180d,ema_adx_trend_4h,ETH,4h,1012,251.66,32.15,152.89,0.26,16.21,44.5,DEPLOYABLE
P3_recent_180d,bb_kc_squeeze_1h,ETH,1h,276,17.44,18.19,113.95,0.11,31.15,47.1,DEPLOYABLE
P3_recent_180d,donchian_breakout_1d,ETH,1d,0,0.00,0.00,0.00,0.00,0.00,0.0,FAILED
P3_recent_180d,vwap_reversion_15m,ETH,15m,1782,102.39,83.62,383.25,0.28,15.88,44.4,DEPLOYABLE
P3_recent_180d,stochrsi_scalp_5m,ETH,5m,2004,96.10,180.76,1423.82,0.13,56.87,48.4,DEPLOYABLE
P3_recent_180d,williams_obv_4h,ETH,4h,88,9.10,10.12,50.79,0.21,15.61,43.2,A_OPTIMISER
P3_recent_180d,regime_adaptive_1h,ETH,1h,4096,13816.40,50.92,657.08,0.52,82.65,68.3,DEPLOYABLE
P3_recent_180d,elder_mtf_15m,ETH,15m,88,9.00,24.46,9999.00,0.00,9999.00,50.0,A_OPTIMISER
P3_recent_180d,ichimoku_trend_4h,ETH,4h,1344,1036.43,34.16,252.01,0.31,33.92,46.9,DEPLOYABLE
P3_recent_180d,bb_scalp_15m,BTC,15m,162,12.29,96.24,1298.41,0.08,167.47,49.4,A_OPTIMISER
P3_recent_180d,triple_confirm_15m,BTC,15m,84,5.21,71.04,9999.00,0.00,9999.00,50.0,A_OPTIMISER
P3_recent_180d,macd_momentum_1h,BTC,1h,3310,352.65,50.22,404.98,0.13,39.54,47.1,DEPLOYABLE
P3_recent_180d,rsi_divergence_1h,BTC,1h,186,13.76,17.97,140.94,0.08,58.21,48.4,DEPLOYABLE
P3_recent_180d,ema_adx_trend_4h,BTC,4h,1010,303.35,35.67,227.31,0.64,35.54,47.7,DEPLOYABLE
P3_recent_180d,bb_kc_squeeze_1h,BTC,1h,356,15.40,20.03,110.38,0.14,28.46,47.2,DEPLOYABLE
P3_recent_180d,donchian_breakout_1d,BTC,1d,0,0.00,0.00,0.00,0.00,0.00,0.0,FAILED
P3_recent_180d,vwap_reversion_15m,BTC,15m,170,8.18,96.18,913.10,0.11,83.78,48.8,A_OPTIMISER
P3_recent_180d,stochrsi_scalp_5m,BTC,5m,2170,112.36,194.53,2332.70,0.13,137.94,49.3,DEPLOYABLE
P3_recent_180d,williams_obv_4h,BTC,4h,162,21.17,17.15,188.26,0.10,94.63,48.8,DEPLOYABLE
P3_recent_180d,regime_adaptive_1h,BTC,1h,4096,16222.38,51.11,1002.29,0.34,192.68,49.4,DEPLOYABLE
P3_recent_180d,elder_mtf_15m,BTC,15m,32,3.18,43.42,9999.00,0.00,9999.00,50.0,INSUFFISANT
P3_recent_180d,ichimoku_trend_4h,BTC,4h,1362,1280.88,35.87,543.87,0.61,129.17,49.1,DEPLOYABLE
P4_recent_90d,bb_scalp_15m,ETH,15m,2218,358.86,98.47,881.18,0.17,56.79,48.1,DEPLOYABLE
P4_recent_90d,triple_confirm_15m,ETH,15m,952,68.55,69.45,428.66,0.14,31.62,47.0,DEPLOYABLE
P4_recent_90d,macd_momentum_1h,ETH,1h,1740,212.14,55.71,420.70,0.16,33.90,47.0,DEPLOYABLE
P4_recent_90d,rsi_divergence_1h,ETH,1h,88,5.91,16.13,91.75,0.08,27.30,46.6,A_OPTIMISER
P4_recent_90d,ema_adx_trend_4h,ETH,4h,458,72.48,31.47,140.69,0.26,13.76,43.2,DEPLOYABLE
P4_recent_90d,bb_kc_squeeze_1h,ETH,1h,126,6.42,15.80,77.93,0.11,19.68,46.0,A_OPTIMISER
P4_recent_90d,donchian_breakout_1d,ETH,1d,0,0.00,0.00,0.00,0.00,0.00,0.0,FAILED
P4_recent_90d,vwap_reversion_15m,ETH,15m,1782,102.39,83.62,383.25,0.28,15.88,44.4,DEPLOYABLE
P4_recent_90d,stochrsi_scalp_5m,ETH,5m,2004,96.10,180.76,1423.82,0.13,56.87,48.4,DEPLOYABLE
P4_recent_90d,williams_obv_4h,ETH,4h,58,5.89,11.51,57.46,0.10,15.35,43.1,INSUFFISANT
P4_recent_90d,regime_adaptive_1h,ETH,1h,2670,961.79,69.42,511.87,0.52,36.65,47.6,DEPLOYABLE
P4_recent_90d,elder_mtf_15m,ETH,15m,88,9.00,24.46,9999.00,0.00,9999.00,50.0,A_OPTIMISER
P4_recent_90d,ichimoku_trend_4h,ETH,4h,610,200.71,40.03,272.33,0.31,32.80,46.9,DEPLOYABLE
P4_recent_90d,bb_scalp_15m,BTC,15m,162,12.29,96.24,1298.41,0.08,167.47,49.4,A_OPTIMISER
P4_recent_90d,triple_confirm_15m,BTC,15m,84,5.21,71.04,9999.00,0.00,9999.00,50.0,A_OPTIMISER
P4_recent_90d,macd_momentum_1h,BTC,1h,1664,124.59,55.86,426.18,0.13,37.37,47.2,DEPLOYABLE
P4_recent_90d,rsi_divergence_1h,BTC,1h,96,6.77,17.84,124.07,0.08,44.57,47.9,A_OPTIMISER
P4_recent_90d,ema_adx_trend_4h,BTC,4h,414,72.98,34.19,195.94,0.64,26.35,46.4,DEPLOYABLE
P4_recent_90d,bb_kc_squeeze_1h,BTC,1h,186,8.11,19.88,100.81,0.14,23.59,46.8,DEPLOYABLE
P4_recent_90d,donchian_breakout_1d,BTC,1d,0,0.00,0.00,0.00,0.00,0.00,0.0,FAILED
P4_recent_90d,vwap_reversion_15m,BTC,15m,170,8.18,96.18,913.10,0.11,83.78,48.8,A_OPTIMISER
P4_recent_90d,stochrsi_scalp_5m,BTC,5m,2170,112.36,194.53,2332.70,0.13,137.94,49.3,DEPLOYABLE
P4_recent_90d,williams_obv_4h,BTC,4h,90,11.30,18.15,207.60,0.10,104.09,48.9,INSUFFISANT
P4_recent_90d,regime_adaptive_1h,BTC,1h,2720,1146.57,71.91,983.60,0.34,101.29,48.9,DEPLOYABLE
P4_recent_90d,elder_mtf_15m,BTC,15m,32,3.18,43.42,9999.00,0.00,9999.00,50.0,INSUFFISANT
P4_recent_90d,ichimoku_trend_4h,BTC,4h,616,228.61,43.71,615.06,0.61,138.19,49.2,DEPLOYABLE
