strategy,coin,interval,return_pct,sharpe,max_dd,profit_factor,win_rate,trades,verdict
bb_scalp_15m.lua,SOL,15m,2121.32,76.22,0.32,57.6,48.3,2244,DEPLOYABLE
bb_scalp_15m.lua,DOGE,15m,2337.53,74.55,1.07,52.6,48.4,2315,DEPLOYABLE
triple_confirm_15m.lua,SOL,15m,218.62,70.12,0.26,50.3,48.0,1020,DEPLOYABLE
triple_confirm_15m.lua,DOGE,15m,1210.58,77.88,1.92,37.0,47.7,2357,DEPLOYABLE
macd_momentum_1h.lua,SOL,1h,29991.54,32.19,0.46,35.4,47.8,3808,DEPLOYABLE
macd_momentum_1h.lua,DOGE,1h,22904.36,33.79,0.45,31.4,47.6,3610,DEPLOYABLE
rsi_divergence_1h.lua,SOL,1h,20.21,12.60,0.32,15.3,44.2,154,A_OPTIMISER
rsi_divergence_1h.lua,DOGE,1h,26.75,15.38,0.16,31.9,47.2,178,DEPLOYABLE
ema_adx_trend_4h.lua,SOL,4h,108.68,14.04,0.26,36.0,46.4,278,DEPLOYABLE
ema_adx_trend_4h.lua,DOGE,4h,99.97,12.87,0.52,18.3,44.6,278,DEPLOYABLE
bb_kc_squeeze_1h.lua,SOL,1h,28.23,14.52,0.25,26.3,47.0,198,DEPLOYABLE
bb_kc_squeeze_1h.lua,DOGE,1h,35.09,15.12,0.31,21.4,46.9,224,DEPLOYABLE
vwap_reversion_15m.lua,SOL,15m,280.98,76.55,0.32,17.4,44.6,1676,DEPLOYABLE
vwap_reversion_15m.lua,DOGE,15m,346.77,78.96,0.32,17.3,45.1,1842,DEPLOYABLE
stochrsi_scalp_5m.lua,SOL,5m,72.90,179.72,0.44,30.1,47.3,846,DEPLOYABLE
stochrsi_scalp_5m.lua,DOGE,5m,321.24,164.22,0.56,47.8,48.6,2153,DEPLOYABLE
williams_obv_4h.lua,SOL,4h,25.52,8.68,0.21,28.9,46.2,104,A_OPTIMISER
williams_obv_4h.lua,DOGE,4h,22.60,6.51,0.83,6.1,35.7,140,DEPLOYABLE
regime_adaptive_1h.lua,SOL,1h,1058290.27,32.13,0.59,91.0,47.8,4096,DEPLOYABLE
regime_adaptive_1h.lua,DOGE,1h,778165.60,32.01,0.76,69.8,53.1,4096,DEPLOYABLE
elder_mtf_15m.lua,SOL,15m,31.51,30.75,0.00,9999.0,50.0,140,DEPLOYABLE
elder_mtf_15m.lua,DOGE,15m,35.16,32.22,0.00,9999.0,50.0,154,DEPLOYABLE
ichimoku_trend_4h.lua,SOL,4h,1258.45,17.63,0.61,70.8,48.4,692,DEPLOYABLE
ichimoku_trend_4h.lua,DOGE,4h,861.87,17.04,1.19,41.0,50.2,619,DEPLOYABLE
