strategy,coin,interval,return_pct,sharpe_oos,sortino_oos,dd_pct,pf,win_rate,trades,alpha,verdict
bb_scalp_15m,ETH,15m,540.69,143.14,1308.51,0.5,92.88,70.8,963,529.75,DEPLOYABLE
bb_scalp_15m,BTC,15m,577.28,153.55,1779.19,0.5,99.99,72.9,1013,558.83,DEPLOYABLE
triple_confirm_15m,ETH,15m,0.00,0.00,0.00,0.0,0.00,0.0,0,-10.94,INSUFFISANT
triple_confirm_15m,BTC,15m,0.00,0.00,0.00,0.0,0.00,0.0,0,-18.54,INSUFFISANT
macd_momentum_1h,ETH,1h,0.00,0.00,0.00,0.0,0.00,0.0,0,160.96,INSUFFISANT
macd_momentum_1h,BTC,1h,0.00,0.00,0.00,0.0,0.00,0.0,0,110.66,INSUFFISANT
rsi_divergence_1h,ETH,1h,42.28,16.10,85.09,0.7,22.82,71.1,83,203.33,DEPLOYABLE
rsi_divergence_1h,BTC,1h,49.88,18.27,125.93,0.4,42.09,72.0,93,160.84,DEPLOYABLE
ema_adx_trend_4h,ETH,4h,681.56,37.86,183.19,1.0,16.90,79.0,709,926.64,DEPLOYABLE
ema_adx_trend_4h,BTC,4h,785.78,46.66,310.58,0.9,39.03,84.3,733,972.31,DEPLOYABLE
bb_kc_squeeze_1h,ETH,1h,0.00,0.00,0.00,0.0,0.00,0.0,0,161.22,INSUFFISANT
bb_kc_squeeze_1h,BTC,1h,0.00,0.00,0.00,0.0,0.00,0.0,0,110.90,INSUFFISANT
donchian_breakout_1d,ETH,1d,-1.25,-1.16,-1.22,4.1,0.28,12.5,32,252.78,ABANDON
donchian_breakout_1d,BTC,1d,-1.05,-1.40,-1.42,2.4,0.16,9.4,32,190.31,ABANDON
vwap_reversion_15m,ETH,15m,250.13,108.03,466.20,0.7,19.35,69.0,767,239.88,DEPLOYABLE
vwap_reversion_15m,BTC,15m,268.65,124.35,878.75,0.5,57.03,73.9,743,250.84,DEPLOYABLE
stochrsi_scalp_5m,ETH,5m,219.21,193.58,1734.31,0.3,86.06,49.1,799,206.46,DEPLOYABLE
stochrsi_scalp_5m,BTC,5m,241.67,207.28,2981.40,0.4,99.99,49.6,865,230.42,DEPLOYABLE
williams_obv_4h,ETH,4h,61.23,10.80,58.99,0.9,18.28,62.7,75,306.17,DEPLOYABLE
williams_obv_4h,BTC,4h,125.74,17.32,178.48,0.7,69.87,67.4,135,312.02,DEPLOYABLE
regime_adaptive_1h,ETH,1h,1735.65,109.21,728.14,0.7,39.34,70.9,2477,1896.56,DEPLOYABLE
regime_adaptive_1h,BTC,1h,1838.74,116.55,1159.14,0.7,85.51,71.8,2487,1949.36,DEPLOYABLE
elder_mtf_15m,ETH,15m,0.00,0.00,0.00,0.0,0.00,0.0,0,-10.68,INSUFFISANT
ichimoku_trend_4h,ETH,4h,1550.62,55.40,395.07,0.8,38.03,75.1,1075,1795.44,DEPLOYABLE
